N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
4,0,,2026-07-29T21:00:11.159915,108023,4617,1437,4617,921,4617,287,4617,39,9058,4,1.028549499984365
4,0,,2026-07-29T21:00:12.188410,108141,4708,1376,4708,935,4708,293,4708,48,9247,2,1.0281206000072416
4,0,,2026-07-29T21:00:13.218198,108154,4542,1353,4542,901,4542,290,4542,31,9363,0,1.0293614999973215
4,0,,2026-07-29T21:00:14.246284,107822,4652,1441,4652,912,4652,262,4652,28,9197,3,1.0278681000054348
4,0,,2026-07-29T21:00:15.274903,108218,4636,1395,4636,937,4636,285,4636,46,9128,0,1.0281692999997176
4,0,,2026-07-29T21:00:16.304955,108234,4710,1418,4710,979,4710,288,4710,39,9104,4,1.029719500016654
4,0,,2026-07-29T21:00:17.334930,107779,4634,1364,4634,950,4634,292,4634,38,8991,0,1.0298269000195432
4,0,,2026-07-29T21:00:18.365375,108007,4701,1383,4701,958,4701,245,4701,34,9180,4,1.0301221999980044
4,0,,2026-07-29T21:00:19.394841,108204,4647,1421,4647,975,4647,263,4647,37,9082,3,1.0291924999910407
4,0,,2026-07-29T21:00:20.423978,108121,4640,1406,4640,904,4640,291,4640,31,9177,2,1.028799700026866
4,0,,2026-07-29T21:00:21.454156,107868,4656,1437,4656,924,4656,290,4656,22,9263,1,1.029664200003026
4,0,,2026-07-29T21:00:22.485676,108291,4679,1419,4679,950,4679,273,4679,41,9204,1,1.031204799975967
4,0,,2026-07-29T21:00:23.516099,108278,4743,1420,4743,943,4743,320,4743,27,9188,1,1.0302042000112124
4,0,,2026-07-29T21:00:24.546593,107926,4640,1439,4640,956,4640,275,4640,40,9013,1,1.030215999984648
4,0,,2026-07-29T21:00:25.575445,108144,4681,1426,4681,924,4681,306,4681,39,9119,0,1.0284494000079576
